时间,主题,内容
3月17日 22:50,#山大心语#,"有些人之所以不断成长，就绝对是有一种坚持下去的力量。好读书，肯下功夫，不仅读，还做笔记。人要成长，必有原因，背后的努力与积累一定数倍于普通人。所以，关键还在于自己。

—— 杨绛

晚安哦"
3月17日 20:34,#每日山问#,今日趣味知识问答 R山东大学的微博投票
3月17日 19:06,#姗姗话题圈#,评论区分享出你的名字缩写，看看别人会怎么称呼你～
3月17日 16:34,#山大放映室#,【最毒舌TED精品：你为何啥事儿都干不成?】我们经常为自己放弃的学业事业找借口。而在这个风趣直率的演讲中-- 毒舌教授Larry Smith毫不留情地戳穿了人们不去追求梦想的种种借口，虽然有些话听起来有些扎心，但道理却令人受益匪浅。LTED精选Live的微博视频 （via@英语口语精华）
3月17日 15:43,#新技能get√#,发现个小而精的导航网站：O网页链接，收集了100多个超级实用的网站，包括小工具、矢量素材、视频素材等网站。（via@班叔）
3月17日 15:13,#山大书屋#,世界百位文学大师代表作，一起来看看吧～(via@经典书籍推荐)
1月29日 17:12,#姗姗话题圈#,山竹们觉得哪段记忆，是你内心深处的童年？
1月29日 15:30,#山大书屋#,《我想做一个能在你的葬礼上描述一生的人》由20余位作家共同完成。书里写的，都是作家们的往事回忆。在这本书里，作家们深情地怀念母亲、恋人，还有他们敬重的老师、珍爱的朋友。和姗姗一起感受书中更加纯粹、真实，也更加令人动容的文字吧。（via.@PoemsForyou)
1月29日 14:52,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
吕荧(1915.11.25-1969.3.5)--安徽天长人。美学家、文艺评论家、翻译家、教育家，美学“主观派”主要代表人物。1950-1952年山东大学中文系教授、主任。"
1月29日 13:41,#山大书屋#,豆瓣高分推荐书单，假期也要继续充实自己哦！（via.@经典书籍推荐）
1月29日 12:16,#姗姗话题圈#,如果让你给自己写一本自传，你会取什么名？
1月29日 09:07,#山大放映室#,【TED演讲：只要你有真正的信心，一切皆有可能】信心越足，我们能为自己的未来创造的机会就越多，我们的每一次大胆尝试，即使结果不可期，即使成功的路不明朗，我们都在为自己切切实实的积累自信心。所以，无论结果如何，大胆地去做一件对自己很有价值的事吧。（via.@TEDNews) ...展开全文c
1月29日 07:45,#早安，山大！#,"面对世界永恒的新奇，我感到我每一刻都是新生。
———佩索阿
早安"
1月28日 23:40,#山大心语#,"要记得在庸常的物质生活之上，还有更为迷人的精神世界，这个世界就像头顶上夜空中的月亮，它不耀眼，散发着宁静又平和的光芒。
——毛姆
晚安"
1月28日 20:36,#每日山问#,我国文学史上最长的一首浪漫主义抒情诗是哪一个作品呢 R山东大学的微博投票
1月28日 19:12,#姗姗话题圈#,大家记忆里关于冬天的诗句有哪些呢
1月28日 17:53,#新技能get√#,"英语作文24个高分例句集锦，考研、四六级、托福雅思都可以用到。
（via@学霸课长）"
1月28日 16:52,#山大书屋#,"天空填满颜色，山野勾勒轮廓。
郁达夫的散文是一幅画，也是调色盘。
（via@poemsforyou）"
1月28日 15:10,#新技能get#,"【超详细版英语自我介绍】各类考试面试总会需要用英文来做自我介绍，有些小山竹可能没有头绪，其实我们可以从生活、爱好和理想三大方面入手，做一份完美的自我介绍！L星火英语官方微博的微博视频
（via@星火英语官方微博）"
1月25日 17:51,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
薛暮桥（1904.10.25-2005.7.22)，江苏无锡人。经济学家，被誉为“市场经济拓荒者”，中国科学院学部委员。1946年临沂山东大学教授。"
1月25日 17:37,#新技能Get√#,"【超级干货大合集】
【考试类】
*考研干货合集 O格瑞是光呀
*国家计算机二级MS-Office合集 O资源掌柜
*考研资源搜索合集 O一烫
*四六级干货合集 O小山菜柰-...展开全文c"
1月25日 14:28,#每日山问#,今日送分题来啦，“碰巧”用英文怎么说？ R山东大学的微博投票
1月25日 13:30,#山大书屋#,"“春天是没有国籍的，白云是世界的公民。”

等待春天的时候，不如为它写首诗吧。🍃
（via @Poemsforyou)"
1月25日 11:23,#姗姗话题圈#,"姗姗最近才发现各地的健康码名字都不一样：
上海叫「随申码」
南京叫「宁归来」
吉林叫「吉祥码」
广州叫「穗康码」
辽宁是「辽事通」...展开全文c"
1月25日 09:06,#山大放映室#,"【如何克服想法和目标太多？】当你被太多的想法淹没时，你会怎么做？快来和姗姗一起克服空想症吧LONE字幕组的微博视频
(via@ONE字幕组)"
1月25日 08:10,#早安，山大！#,"
不用滞留采花保存，只管往前走去，一路上百花自会盛开。
                                                       ——泰戈尔

假期愉快啊～"
1月24日 23:02,#山大心语#,"
寒风推送着混浊的波澜，波澜拥向歪斜的石岸。石缝中有一抹淡绿的幼芽，顽强地展开了小小的叶瓣。——顾城

晚安"
1月24日 20:00,#FM.1901#,"北京时间20：00，让音乐传递你我的心声，欢迎收听山东大学音乐电台FM.1901，我是主播姗姗。
今天播送的是@去开一家小卖部  推荐的曲目——由蔡程昱演唱的《自己的明天》。
她的推荐理由是：“远方的地平线，那不是终点线”。纵然生活布满荆棘，追梦初心不曾改变，希望我们每一个人都会 ...展开全文c"
1月24日 17:23,#每日山问#,英语“译”站】 R山东大学的微博投票
1月24日 15:33,#山大放映室#,当狗狗知道主人就快要到家的时候—— 乖乖坐在家门口等待主人回来，在主人到家后又兴奋地疯狂原地转圈......（ TT：Nancy Gail）LYouTube精选的微博视频
