时间,主题,内容
2020-12-9 10:31,#山大放映室#,【TED：如何驯服走神的大脑？几个技巧帮你更专注】你一定听过这个说法，“人类只使用了大脑10%的潜力。” 作为一个神经系统学家，我可以告诉你，这句话其实完全错误！真相是，人类已经使用了大脑100%的潜力。人的大脑是是一个已经完全开发的、极其高效而且耗能的器官。而且，即使潜力已 ...展开全文c
2020-12-9 09:14,#山大资讯#,"【山东大学微生物技术国家重点实验室主任张友明当选德国国家工程院院士】
近日，接德国国家工程院（ACATECH）官方通知函，山东大学微生物技术国家重点实验室主任张友明在德国国家工程院2020年度院士大会中当选为德国工程院院士。"
2020-12-9 08:08,#早安，山大！#,"
我已无暇顾及过去，我要向前走。
—— 米兰·昆德拉

早安呀！"
2020-12-8 22:31,#山大心语#,"
历经万般红尘劫，犹如凉风轻拂面。——林清玄

晚安，祝你好梦"
2020-12-8 20:31,#我爱拍山大#,“愿少年，乘风破浪，他日毋忘化雨功。”
2020-12-8 19:16,#每日山问#,下列诗句所描述的传统节日，与其他三项不同的一项是？ R山东大学的微博投票
2020-12-8 18:12,#姗姗话题圈#,山竹们，如果微博的前三个表情代表2020结尾的心情或状态，你的是什么样的呢～
2020-12-8 15:56,#新技能get√#,"四六级冲冲冲！让姗姗祝你一臂之力吧～英语四六级写作常用句型马住啦！
（via@橙啦四六级备考）"
2020-12-8 13:49,#山大书屋#,"冬天轰轰烈烈地进行着。
搜集了一些关于冬天的诗，希望能在凛冬中给你带来些许温暖。
（via@PoemsForYou）"
2020-12-8 09:54,#山大资讯#,"【笃行如初，行稳致远！山大多项研究成果获省社科一等奖】
山东省社会科学优秀成果奖是省政府颁发的省社会科学研究最高成果奖，每年评选一次。自1983年以来已完成34次评选。日前，第34届获奖成果名单已公布，共评出250项（特等奖并一等奖1项、一等奖29项、二等奖100项、三等奖120项）。
...展开全文c"
2020-12-8 07:47,#早安，山大！#,"
与海为邻，住在无尽蓝的隔壁，却无壁可隔，一无所有，却拥有一切。—— 余光中

山竹们，早安～"
2020-12-7 22:57,#山大心语#,"步履一生，清风自在，我有明珠一颗，照破山河。
——林清玄
晚安"
2020-12-7 21:44,#山大书屋#,"【村上龙|困惑压抑亦透明清澈的文学体质】

快乐需要能量，那就是斗争。那场让所有无聊的家伙都能听到我的笑声的斗争，我想大概会坚持到我生命的终止。
|村上龙

（via@新浪读书）"
2020-12-7 17:11,#山大放映室#,"有的电影连海报都在讲故事～来看看这些诗意的海报叭！
别忘了告诉姗姗你被种草了哪部呢？
（via@亭林镇无业青年）"
2020-12-7 16:10,#每日山问#,山竹们都知道“dirt”是“尘土”的意思，那大家知道“eat dirt”是什么意思吗？ R山东大学的微博投票
2020-12-7 14:48,#姗姗话题圈#,"2020就快结束啦！这一年你做过最骄傲的一件事是什么呢？
评论区分享让姗姗和大家一起夸夸你叭❤️"
2020-12-7 13:18,#校园vlog#,山大学子，才艺飞扬；歌一曲声入人心，舞一支惊鸿一翩，妙语连珠乐全席……听说...SDUers各个都身怀绝技，才艺新星大赛布下各展才华的舞台，和姗姗一起来看看新生们绽放的夺目光彩吧 L山东大学的微博视频
2020-12-7 11:54,#山大书屋#,"小朋友的笔下总是充满奇思妙想，一起来看看小朋友的神奇世界叭
（via@看书有道）"
2020-12-7 11:03,#山大放映室#,"用几分钟时间见证一朵向日葵两个月来从发芽到开花的生长过程！植物旺盛的生命力似乎随时会冲破屏幕，实在让人动容。
来和姗姗一起看看吧！
（via@当时我就震惊了）
L当时我就震惊了的微博视频"
2020-12-7 07:26,#早安，山大！#,"我终于肯定我所怀念的，不是那些终将逝去的东西，而是清晨鸟鸣时的宁静。
——罗伯特·潘沃伦

早安呀"
2020-12-6 22:36,#山大心语#,"当泪的潮涌渐渐退远，
理想的岛屿就会浮现。
——顾城

夜幕降临，要做个美梦哦~"
2020-12-6 20:03,#每日山问#,中国历史上被誉为“药王”的是谁？ R山东大学的微博投票
2020-12-6 15:51,#新技能get√#,【excel办公操作技巧】计算机等级考试必备！姗姗先帮大家收藏了~（via@央视新闻）
2020-12-6 14:31,#姗姗话题圈#,小山竹们的微信拍一拍设置是什么呢？
2020-12-6 13:31,#山大书屋#,【治愈书单】困难的时刻，阅读正是自我治愈的良方，阅读能够传递温暖、丰盈内心。9本治愈好书推荐给可爱的小山竹们~ （via@思想聚焦）
2020-12-6 10:48,#山大资讯#,"【山大九课题获2020国家社科基金重大项目立项--立项数位列全国高校第七位】
12月3日，全国哲学社会科学工作办公室公布了2020年度国家社科基金重大项目立项名单，山东大学九项课题获准立项，立项数居全国高校第七位。本次获批项目学科分布为：经济学5项、社会学2项、考古学1项、体育学1项，其 ...展开全文c"
2020-12-6 08:33,#山大放映室#,【
2020-12-6 07:33,#早安，山大！#,"若无德，
则虽体魄智力发达，
适足助其为恶。
——蔡元培

早安，小山竹们~"
2020-12-5 23:04,#山大心语#,"任何命运，无论如何漫长复杂，实际上只反映于一个瞬间：人们大彻大悟自己究竟是谁的瞬间。
———博尔赫斯"
2020-12-5 21:17,#山大书屋#,【“残念猫”作者又一暖萌力作《藏狐砂冈先生》引进出版】本书是漫画家Q桑继《残念猫》系列之后的又一人气力作，丧丧的画风中蕴含着抚慰人心的温柔力量，作家糸井重里特别推荐，称本书为“漫画史上最沉默的温柔”。103则疲惫日常中的暖心故事，生活有时很丧，还好我们总能被温暖与爱意拯救 ...展开全文c
2020-12-5 20:51,#每日山问#,文学常识小考查：巴金先生所作的“激流三部曲”中不包括下面哪一部？ R山东大学的微博投票
2020-12-5 17:31,#姗姗话题圈#,山竹们最近有没有遇到什么好运呢？快来说说看吧！
2020-12-5 16:28,#新技能get√#,这100个公务员考试申论必备的高分表述！山竹们赶快码起来吧！（via.@学霸学长bot）
2020-12-5 15:18,#新技能get√#,"这100组易混淆的英语单词姗姗已经帮你码好了，赶快get起来吧！
（via.@学霸课长）"
2020-12-5 14:45,#每日山问#,文学常识小考查：鲁迅先生在1918年发表的中国现代文学史第一篇白话小说是？ R山东大学的微博投票
2020-12-5 13:39,#一个12岁山区女孩眼里的扶贫#,我们搬下了山，爸爸有了新工作】云南怒江12岁的傈僳族姑娘李成花，曾经总盼着过年，因为“这样在外务工的爸爸就能回家了”。易地搬迁扶贫实施后，她所在的村子搬下了山。“我们搬了新家，爸爸回来找了工作，买了大摩托，说以后就在身边陪着我！这就是电视里讲的扶 ...展开全文c
2020-12-5 11:58,#姗姗话题圈#,2020年余额不足，还记得你当初立下的那些flag吗？
2020-12-5 10:10,#山大书屋#,"“草莓没有性别
但大部分男生不穿
有草莓图案的衣服”
蔡仁伟的诗，简短却又直戳人心。
和姗姗一起来悦读吧！
（via.@PoemsForYou)"
2020-12-5 09:04,#山大放映室#,【
2020-12-5 07:42,#早安，山大！#,"一个人倘若能管理好自己的情绪，消化人世悲喜，纵然会经历坎坷，也必能得到一定圆满。
——季羡林
早安，山竹们"
2020-12-4 23:15,#山大心语#,"
星星发亮，是为了让每个人有一天都能找到属于自己的星星。
——《小王子》

晚安，好梦~"
2020-12-4 21:54,@微博校园,"动，千所高校共同助力扶贫助农，一起迎接2021年的第一个祝福！
快来戳链接 ...展开全文c"
2020-12-4 21:43,#姗姗话题圈#,如果给你一张免费的演唱会门票，你希望是谁的？
2020-12-4 20:10,#每日山问#,此时正在刷手机的你，知不知道看手机应该用哪个动词呢？ R山东大学的微博投票
2020-12-4 19:02,#山大书屋#,"“爱的开始是一个眼色，爱的最后是无限的穹苍。 ”

林清玄的文字，纯粹棉质，哲韵悠长。

（图Via@PoemsForYou）"
2020-12-4 16:51,#山大放映室#,"纪录片《金银潭实拍80天》是国内唯一一部在疫情最重时进入武汉金银潭医院红区（隔离区）拍摄的纪录片，由湖北卫视疫情纪录片团队拍摄。
没有故事设计，没有镜头设计，所有成员冒着巨大风险进入红区，在有限的条件下，用摄影机记录下眼前的一切。
谨以此片献给英雄的城市、英雄的人民，他 ...展开全文c"
2020-12-4 13:46,#每日山问#,姗姗来科普一下～下列不属于中国“四大古都”的城市是？ http://t.cn/A6qvYGnJ
2020-12-4 10:34,#姗姗话题圈#,小山竹们试着打一个“想”字，让姗姗看看你在想什么吧？
2020-12-4 09:03,#山大放映室#,"【高分涨知识系列纪录片《宇宙》】
该片可以让你系统地了解宇宙，包括人类探索宇宙的历史故事、对宇宙的不懈探索，和那些已经了解和尚未了解的宇宙奥秘。
绝美宇宙景观和精良的特效制作，再加上满满的干货，宇宙和科普爱好者们不要错过！

视频较长，建议先马~http://t.cn/A6GQdw2U
1-8季 ...展开全文c"
2020-12-4 07:53,#早安，山大！#,"
等风来，不如追风去。
——《一禅小和尚》

早安，读书人~"
2020-12-3 21:54,#山大心语#,"
集人的脆弱与神的旷达于一身，才是真正的伟大。——塞涅卡

晚安！"
2020-12-3 20:28,#山大放映室#,"山竹们期待下雪吗！动物园里已经下雪啦～原来小动物们也喜欢下雪 在雪地里跑、打滚、追大片的雪花、用嘴巴接雪吃，太治愈啦～
cr：Oregon Zoo Snow Days（via@奇怪喵）  http://t.cn/A6GYlOEv"
2020-12-3 18:20,#每日山问#,知识小抽查：“拘泥”一词应该怎么读呢？ http://t.cn/A6GsoGmt
2020-12-3 13:56,#山大书屋#,"「我仿佛脱下了旅衣的老江湖，此刻在这里做了店小二。」

读"
2020-12-3 12:09,#姗姗话题圈#,提名一个家乡美食，然后让大家猜猜你是哪里人吧！
2020-12-3 10:08,#山大资讯#,"【山东大学与青岛西海岸新区签署合作协议】
11月27日上午，山东大学与青岛西海岸新区共建国家胶体材料工程技术研究中心（青岛中心）签约仪式在中心校区举行。活动前，山东大学党委书记郭新立会见了青岛市委常委、青岛西海岸新区工委书记、区委书记孙永红一行。山东大学校长樊丽明出席签约 ...展开全文c"
2020-12-3 08:25,#早安，山大！#,"
没有任何事物是寻常的，多余的。——维斯瓦娃·辛波斯卡

早安，又是美好的一天～"
2020-12-2 22:46,#初雪#,
2020-12-2 22:07,#山大心语#,"
生活就像旅行，理想是其路线，没有了理想，人们将止步不前。如果人生没有目标，动力将被耗尽。
—— 雨果

晚安哦"
2020-12-2 21:35,#姗姗话题圈#,来给自己的12月许个愿吧！
2020-12-2 18:26,#姗姗话题圈#,突击检查！把你复制的东西粘贴出来叭！
2020-12-2 15:41,#山大放映室#,【TED：勇气与恐惧之间的美丽平衡】我并不是一直坐轮椅的。我像你们很多人一样，在奔跑、跳跃和舞蹈中长大。我热爱跳舞。然而在二十多岁时，我开始经历一系列难以解释的跌倒。几年之后，确诊了“遗传性包涵体肌炎”，简称HIBM。这是一种进行性的肌肉萎缩症，影响到我从头到脚的所有肌肉 ...展开全文c
2020-12-2 14:31,#山大放映室#,【今年只剩一个月，
2020-12-2 13:36,#山大书屋#,"推荐书目：《山河之书》
推荐原因：这是一本关于华夏大地上的文化之旅散文集，从西江苗寨到呼伦贝尔大草原，从媲美天堂的苏杭到苦寒之地宁古塔，建筑、音乐、书籍、壁画、民俗风情，无不展示中国文化的空间力量。"
2020-12-2 12:16,#1203三只松鼠京东超级品牌日#,姗姗又来抽零食大礼包啦！小山竹们千万别错过啦~关注@山东大学 并转发本条微博，12.10抽一位幸运山竹送出三只松鼠零食大礼包一份！O抽奖详情
2020-12-2 10:15,#新技能get√#,姗姗整理了英语写作高分替换词～马上就要迎来六级考试了，大家加油哦！（via@学霸课长）
2020-12-2 09:03,#山大资讯#,"【新增数第三，总数第六！山大一流本科课程获突破】
11月30日，教育部发布《教育部关于公布首批国家级一流本科课程认定结果的通知》，共认定5118门课程为首批国家级一流本科课程。其中，教育部2019年新认定一流本科课程3559门，原2017年、2018年国家精品在线开放课程和国家虚拟仿真实验教 ...展开全文c"
2020-12-2 08:04,#早安，山大！#,"
一个人越聪明、越善良，他看到别人身上的美德越多；而人越愚蠢、越恶毒，他看到别人身上的缺点也越多。
—— 托尔斯泰

早安呀！"
2020-12-1 22:07,#山大心语#,"
在我的逆境来临时，是我生命力量最具战备状况的大好时机。
——三毛

晚安                         "
2020-12-1 18:18,#山大放映室#,"【TED：20岁光阴不再来，最实用的人生规划】
抓住这段黄金时期，有些努力看似简单，却将为你的工作、爱情、幸福、甚至这个世界，带来转折性的变化。想清楚自己想成为什么样的人，并为之积累；善用人际关系的弱联系；谨慎选择家庭与朋友。这十年会定义你的人生。  LTEDNews的微博视频
...展开全文c"
2020-12-1 17:29,#每日山问#,【今日科普】 R山东大学的微博投票
2020-12-1 15:31,#12月你好#, 2020最后一个月，山竹们要继续加油哦
2020-12-1 14:53,#每日山问#,【英语“译”站】 R山东大学的微博投票
2020-12-1 13:24,#新技能get√#,【扩散周知！
2020-12-1 10:05,#山大放映室#,"【BBC顶级艺术纪录片《西方艺术史》 (全六集) 】接近5个小时的观影时间，带你了解西方艺术的历史，领略其中的人文魅力！ L每日纪录片推荐的微博视频
（via@每日纪录片推荐）"
2020-12-1 08:43,#山大资讯#,"【山东大学两项成果荣获第四届全球华人国学成果奖】
11月28日，第四届全球华人国学大典颁奖典礼在北京举行。山东大学儒学高等研究院王学典教授主编的《20世纪中国史学编年》和杜泽逊教授主编的《尚书注疏汇校》荣获本届全球华人国学成果奖。这是山大首次两项成果同届获此殊荣。
（来源：山 ...展开全文c"
2020-11-30 21:45,#山大心语#,"
奈何一个人随着年龄增长，梦想便不复轻盈；他开始用双手掂量生活，更看重果实而非花朵。
——叶芝《凯尔特的薄暮》

晚安"
2020-11-30 19:27,#新技能get√#,"你不是没有成长，而是在扎根】
这个世界没有白费的努力。也许有人会辜负你，但汗水不会。你学到的东西，或许不会带来直接的成功，但每学到一项技能，就多一份直面世界的底气。关于成长的9条建议↓默默流汗，慢慢成长，或许就是努力奋斗最正确的姿态。
（via@人民日报）"
2020-11-30 18:09,#山大书屋#,"《小妇人》里，乔最后嫁给了巴尔教授，而作者路易莎·梅终身未婚。
关于小妇人的出版经历，路易莎曾在日记中写道：“一直有女孩们写信询问小妇人最终嫁给了谁，似乎这是一个女孩终其一生的目标和结局。我不会为了取悦任何人而把乔嫁给劳里。”她恐惧妻子和母亲的标签，终身未婚。但在当时， ...展开全文c"
2020-11-30 16:22,#姗姗话题圈#,你最爱的冬季暖饮是什么呢？快来和姗姗安利一波吧！
2020-11-30 14:04,#山大书屋#,"教授荐书，一起悦读】
推荐人：新闻传播学院 王德胜教授
推荐书目：《认识商业》（美）尼科尔斯著 陈智凯、黄启瑞译
推荐理由：
《认识商业》是全美高等院校采用量最大的商业入门教材，全球几百所大专院校将其列为企业管理课程、MBA教程的必选教材。本书包罗商界万象，从商业管理、 ...展开全文c"
2020-11-30 13:31,#每日山问#,《诗经》共收录了多少篇呢？ R山东大学的微博投票
2020-11-30 11:31,#姗姗话题圈#,今年的体测，山竹们都得了多少分呢？
2020-11-30 08:56,#山大放映室#,"在城市中没有被大家注意到的小角落里，正在发生什么呢？动画师们为这些平淡的小世界，点缀上了自己的脑洞，既有趣又可爱。
(via—vimeo: Chris Hutchison) LYouTube精选的微博视频"
2020-11-30 07:19,#早安，山大！#,"
我们仍有英雄之心的勇气，虽然被时间和命运耗损，但意志坚强，要斗争、要探索、要寻找，绝不屈服。
——丁尼生《尤利西斯》

早安"
2020-11-29 22:44,#山大心语#,"露泣连珠下，
萤飘碎火流。
——庾信

夜幕降临，要做个美梦哦~"
2020-11-29 22:04,#每日山问#,被后世称为“梅妻鹤子”的是谁？ R山东大学的微博投票
2020-11-29 21:01,#山大资讯#,"【马文啸获得2020年度宝钢优秀学生特等奖，学校连续三年有本科生获特等奖】
近日，2020年度宝钢教育基金（宝钢教育奖）年度会议举行，山东大学8位师生获得奖励。其中，外国语学院本科生马文啸获得优秀学生特等奖，是获奖本科学生中唯一人文社科类专业学生。这也是山东大学本科生连续三年获 ...展开全文c"
2020-11-29 16:53,#山大放映室#,
2020-11-29 14:02,#姗姗话题圈#,喜欢吃的水果是什么？
2020-11-29 10:23,#山大书屋#,"【汪国真|激情向上、昂扬超脱的人生观】
假如你不够快乐，也不要把眉头深锁
人生本来短暂，为什么还要栽培苦涩
希望小山竹们每天都对未来充满期待！
（via@新浪读书）"
2020-11-29 09:12,#武汉大学127岁生日快乐#,"东湖之滨，灵秀萃诸方。
百亩宫室，置珞珈山上。
山川纡曲，天地圆方，捧出学堂。
双甲更余七岁，造楚才，皆栋梁。
自强弘毅，扶摇直上鲲鹏举；
求是拓新，藏修游息爱景光。...展开全文c"
2020-11-29 07:49,#早安，山大！#,"在这喧闹的凡尘，
我们需要有适合自己的地方，
用来安放灵魂。
——余秋雨

小山竹们，早上好~"
2020-11-28 22:46,#山大心语#,"世界让我遍体鳞伤，但伤口长出的却是翅膀。——阿多尼斯
晚安😴"
2020-11-28 22:05,#新技能Get√#,这份考研英语高分作文模版，姗姗已经帮你整理好了，赶快码起来吧！（via.@大学霸儿）
2020-11-28 21:13,#新技能get√#,"这份考研高频短语，山竹们赶快码起来吧！
（via.@学霸学长bot）"
2020-11-28 17:24,#姗姗话题圈#,山竹们平常有什么口头禅吗，快来分享一下吧
2020-11-28 16:50,#每日山问#,文化常识小测试：被苏轼称为“文起八代之衰”的文学家是： R山东大学的微博投票
2020-11-28 14:56,#山大放映室#,"超好玩法语中国风动画《啊啾》！法国人眼中「中国烟花的由来」，该片入选了2018年奥斯卡最佳动画短片的附加名单，并在法国、美国、希腊和罗马尼亚等多国电影节上展映。
L场库的秒拍视频 （via.@场库视频 ）"
2020-11-28 12:18,#姗姗话题圈#,不许动，快说就现在，离你最近的食物是什么？
2020-11-28 10:14,#山大书屋#,"经常会感慨：人生怎么有那么多难以描述，却又无法忽视，微妙又难解的人性细节呢。很多情绪，时常轻轻地滑过，抓不住，形容不上来。
但是在雷蒙德·卡佛的诗里，这些居然都能找到。
跟姗姗一起来看看吧（via.@候鸟读书）"
2020-11-28 09:11,#山大放映室#,【原来
2020-11-28 07:42,#早安，山大！#,"但凡不能杀死你的，最终都会使你更强大。
——尼采
早安"
2020-11-27 23:15,#山大心语#,"
我年轻过，落魄过，幸福过，我对生活一往情深。
——马尔克斯                                   
           
晚安，好梦~"
2020-11-27 21:57,#姗姗话题圈#,小山竹们，你目前最近的一个ddl是什么？
2020-11-27 20:14,#新技能Get√#,"【英语单词速记法公开课】快来Get吧~
1、 英语单词记忆法汇总O【北大+清华学霸】让你背单词快10倍的记忆法
2、词根词缀记忆法O网页链接
3、重点词根词缀讲解O网页链接
4、如何背四六级单词O网页链接
5、如何背考研单词O网页链接...展开全文c"
2020-11-27 18:46,#山大书屋#,"
“正与生命里一切相同/我们爱得太是匆匆
好像只是昨天/你还在我的窗前”

让我们来感受林徽因诗里的细腻和温柔
（图Via@PoemsForYou）"
2020-11-27 17:37,#姗姗话题圈#,"我托人间寄讯，邀雪称庆，为你捎来清佳冬令。
冬日将至，在你眼中哪个食物最能代表冬天呢~ R山东大学的微博投票"
2020-11-27 16:36,#山大放映室#,"纪录片《钟南山》，独特视角下的国士担当。
该片从新冠疫情重大事件的切入，讲述钟南山在2020新冠疫情和2003年非典疫情当中奋斗在抗疫一线的故事，向我们展示了钟南山八十多年来人生的奋斗历程。
L泉州那些事儿的微博视频
（视频Via@泉州那些事儿）"
2020-11-27 14:00,#每日山问#,姗姗来科普一下~聪明的你知不知道下列不属于“四大名绣”的是？ R山东大学的微博投票
2020-11-27 12:16,#新技能Get√#,"必知Word快捷键之F4的妙用，有效提高效率～
日常工作、论文排版都适用，和姗姗一起Mark起来！
（via@秋叶Word）"
2020-11-27 08:52,#山大放映室#,"【友好的猫咪 The Friendly Cats】
野猫演化成宠物猫，真的是喵星人头脑发热的决定吗？
科学家建立了一个全球猫咪基因库，旨在研究猫咪是如何遍及全球以及怎样成为人类的宠物。科学家们表示普通猫的基因或许可以解答人与猫咪间的这种亲密关系！
L纪录片之家爱自然的微博视频
（视频Via ...展开全文c"
2020-11-27 07:45,#早安，山大！#,"冬有冬的来意，
寒冷像花，花有花香，
冬有回忆一把。
—— 林徽因

天气转凉，要多添衣哦~"
2020-11-26 22:37,#山大心语#,"
粪虫至秽，变为蝉而饮露于秋风；腐草无光，化为萤而跃彩于夏月。
——洪应明《菜根谭》

晚安，好梦～"
2020-11-26 21:08,#每日山问#,"在我国绚丽多彩的艺术百花园中，戏曲是一门影响最广、最具民族特色的艺术形式。
山竹们知道以下哪部不属于中国古代四大名剧吗？ R山东大学的微博投票"
2020-11-26 18:44,#姗姗话题圈#,一人提名一个食堂冬季top1美食吧！
2020-11-26 16:30,#造浪吧少年#,识不设限，一起来充电！转发本条微博，即可点亮“后浪”专属icon，一起为知识乘风破浪吧～
2020-11-26 16:01,#新技能Get√#,"如何给你的presentation锦上添花？姗姗为你准备了ppt制作教程，再也不用担心做ppt无从下手啦！

PPT 2010视频教程O【PPT2010】基础教程
PPT 2013实用小技巧O【office】PPT 2013 powerpoint2013实用小技...
PPT 2016基础入门O网页链接
PPT制作视频高清教程O【PPT制作教程 完整版】许岑幻灯片PPT制作视... ...展开全文c"
2020-11-26 14:04,#山大资讯#,"【最年轻特等奖！山东大学路国权摘得山东第三十四届社会科学优秀成果奖唯一特等奖】
山东省第三十四届社科优秀成果奖评选经各授权单位组织推荐、意识形态审读、客观赋分、接龙打分和会议评选，最终评选出获奖成果250项，其中特等奖并一等奖1项、一等奖29项、二等奖100项、三等奖120项。其 ...展开全文c"
2020-11-26 12:46,#山大放映室#,"山竹们，你们有没有过这样的经历呢：明明吃得很饱了，却还能吃得下饭后甜品，明明吃饱了咸的，却还想吃点甜的，吃了甜的又想吃点辣的！
今天和姗姗一起了解一下“特定感官的饱足感”，揭密干饭人的神秘本质吧～
cr：VOX（via@奇怪喵）
L奇怪喵的微博视频"
2020-11-26 11:21,#山大资讯#,"【“百廿山大 强校兴国” 全国主流媒体走进山东大学活动举行】
11月24日，由山东大学与山东省互联网传媒集团联合举办的“百廿山大，强校兴国——全国主流媒体走进山东大学”大型采访活动在山东大学正式启动。本次活动以“百廿山大 强校兴国”为主题，邀请40余家中央和全国各省市区地方重点 ...展开全文c"
2020-11-26 10:31,#当代大学生文艺日常#,
2020-11-26 07:59,#早安，山大！#,"
三十功名尘与土，八千里路云和月。
——岳飞《满江红》

早安，今天也是元气满满的一天！"
2020-11-25 21:54,#山大心语#,"
不擅交际固然是一种遗憾，不耐孤独也未尝不是一种很严重的缺陷。
—— 周国平

晚安哦"
2020-11-25 18:28,#姗姗话题圈#,知识丰富的专业课和趣味横生的选修课都各有各的特色，大家最爱的一门课程是什么呢？
2020-11-25 16:05,#山大放映室#,【如何摆脱沮丧的心情？】在我们心情沮丧的时候，我们无法想象如何找到另一份工作，无法想象不去理会那些关于我们的流言蜚语，无法想象再找到另一个喜欢的人，无法想象让自己再去信任另一个人，比起当下的痛苦，我们想象不到明天会更好。而我们每个人都需要滋养和释放我们的想象力，去获 ...展开全文c
2020-11-25 15:20,#山大放映室#,【TED演讲：生命是一份大礼，最后你要把它还回去！】“你得到了这份大礼——生命，你尽最大努力地丰富它，然后你要将它归还！”LTEDNews的微博视频 （via@艾力酷艾英语）
2020-11-25 14:07,#山大书屋#,"推荐书目：《人生终要有一场触及灵魂的旅行》
推荐原因：已经走过七十多个国家的毕淑敏说：“一个人走了多远的路，去过多少个地方，见过多少人……这些其实一点都不重要。重要的是你曾看到过什么，想到过什么，归来后你若隐若现地感到改变了什么。有很多人终生困顿在他们自己的茧里。这是 ...展开全文c"
2020-11-25 13:13,#新技能get√#,图为往年翻译真题（含英文试题和中文翻译参考，按颜色对应），翻译的时候，专有名词其实不重要，关键的是把具体内容翻译到位。小山竹们可以简单过一下～ 加油！ （via@艾力酷艾英语）
2020-11-25 11:04,#新技能get√#,姗姗找来一份Word、PPT、PDF、TXT格式转换大全！（via@学霸课长）
2020-11-25 09:11,#山大资讯#,"【科睿唯安公布2020年度“全球高被引科学家”，山大8位学者入选！】
日前，科睿唯安公布了2020年度“全球高被引科学家”名单，山东大学8位教授入选，分别是化学领域的黄柏标教授，跨学科领域的刘宏教授、熊胜林教授、戴瑛教授、冯奎双教授、冯强教授、张进涛教授、张宁教授。其中，黄柏标 ...展开全文c"
2020-11-25 08:02,#早安，山大！#,"
不应当急于求成，应当去熟悉自己的研究对象，锲而不舍，时间会成全一切。凡事开始最难，然而更难的是何以善终。

—— 莎士比亚

早安"
2020-11-24 22:01,#山大心语#,"
别在树下徘徊，别在雨中沉思，别在黑暗中落泪。向前看，不要回头。
——埃迪蒙托·德·亚米契斯

晚安"
2020-11-24 20:05,#新技能get√#,"最好的修养，是懂得将心比心的善良】
人与人走近，需要设身处地；心与心贴近，需要换位思考；最好的修养，是做事懂分寸，心中怀善良。始终把别人装在心里，己所不欲勿施于人。9个提高修养的建议↓↓和姗姗一起记住吧！
（via@人民日报）"
2020-11-24 19:18,#山大书屋#,"“在身体之夜/边缘/十个月亮正升起”
“星星聚集，梦涌入你的枕头/散发出空气温暖的芬芳”
今天姗姗和你一起探寻马克·斯特兰德诗里的夜，静谧而神秘。
（via@PoemsForYou）"
2020-11-24 15:49,#新技能get√#,"初冬疫情防范，从我做起！】
初冬时节，国内多地出现散发病例。迅速开展核酸检测、高度重视流调溯源、及时进行公开报告，各地正利用抗疫经验，坚守秋冬疫情防线。一线在努力，我们每个人也应尽责：科学佩戴口罩、保持社交安全距离、不扎堆、讲卫生，决不能让来之不易的疫情防控持续 ...展开全文c"
2020-11-24 14:12,#每日山问#,最早的血压计是用于测量哪种动物的呢？ R山东大学的微博投票
2020-11-24 13:10,#山大书屋#,"【教授荐书，一起悦读】
推荐人：管理学院 陈丹教授
推荐书目：《苏菲的世界》乔斯坦•贾德著，萧宝森译
推荐理由：本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，由浅入深地揭示了西方哲学史的发展历程。由前苏格拉底时代到萨特，亚里士多德、笛卡儿、黑格尔 ...展开全文c"
2020-11-24 12:06,#姗姗话题圈#,这个冬天你是胖了呢还是瘦了呢？把增加/减轻的体重写在评论区吧！
2020-11-24 11:00,#每日山问#,《史记》中的“世家”是给什么人作的传呢？ R山东大学的微博投票
2020-11-24 09:39,#山大放映室#,"采访5-75岁的男性：你几点起床？】
Glamour的这支调查有点意思，除了少数在凌晨起床之外，大多都稳定在6-8点的“健康时间”起床，不仅没有随着年龄产生变化，而且几乎没人提到工作日和休息日时的区别。
如果是在休息的日子，你还会按照工作日的节奏起床吗？ （via：LYouTube精选的微博视频 ...展开全文c"
2020-11-24 07:37,#早安，山大！#,"
当你自己选择了与众不同的生活方式之后，又何必去在乎别人以与众不同的眼光来看你。
——多丽丝·莱辛

早安"
2020-11-23 22:04,#山大心语#,"
走好选择的路，别选择好走的路，你才能拥有真正的自己。
——杨绛

晚安"
2020-11-23 20:10,#每日山问#,【今日科普】 R山东大学的微博投票
2020-11-23 18:35,#姗姗话题圈#,2020年还有一个月就要结束了，你最想对谁说一声“谢谢”呢？
2020-11-23 15:47,#每日山问#,【英语“译”站】今日的翻译来啦！ R山东大学的微博投票
2020-11-23 13:50,#新技能get√#,体测开始了，山竹们运动前一定要做好拉伸呀！（via@运动健身教程）
2020-11-23 11:40,#国考准考证#,
2020-11-23 10:19,#山大放映室#,【TED：想象力图书馆】这座瑰丽奇幻的图书馆设计灵感来自埃舍尔的画。这里展示着5000年来人类的想象力。Jay Walker如数家珍地向你展示他这座奇特的图书馆中的宝贝，每一样都记录着人类思维的一次飞跃。  LTEDNews的微博视频 （via@TEDNews ）
2020-11-23 08:48,#山大资讯#,近日，公共卫生学院卫生管理与政策研究中心姚能亮教授团队在老年学和现代居家医疗研究方面再次取得新进展，一方面针对医院和长期护理机构的老年照护劳动力短缺问题进行了深入研究，为医养健康服务市场的发展提供了重要建议；另一方面厘清了居家医疗的定义和内涵，为我国的居家医疗建设设立 ...展开全文c
