网址,标题,时间戳
https://search.cctv.com/link_p.php?targetpage=http://gongyi.cctv.com/2017/05/31/ARTIIr7v5c4i2VZaZSurvLv4170531.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"2017寻找方大曾公益校园行——
山东大学",2017-05-31 16:38:18
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2014/09/10/ARTI1410321771316745.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"山东大学
校训：求无境之学 养浩然之气",2014-09-10 12:04:04
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2013/03/21/ARTI1363837024432968.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"山东大学
劝退近百学生 上大学不能再“打酱油”",2013-03-21 11:37:42
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2016/01/26/ARTIAwPxzKbVIwVWghwVoEaL160126.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"山东大学
回应一硕士论文涉嫌造假：查实将撤销学位",2016-01-26 13:52:41
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/07/12/ARTIebNmEgnmGkw5QyXJSOnm190712.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"山东大学
留学生“学伴”项目惹争议 回应：为友好交流",2019-07-12 09:28:25
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2014/01/05/ARTI1388908411460326.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"假冒
山东大学
考研网站被曝光 与山大研招办对门办公",2014-01-05 15:53:55
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/10/20/ARTIuQwJNCtHmVTlxgHCO8VS191020.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"加强师生互动
山东大学
打造人见人爱的思政课堂",2019-10-20 12:35:01
https://search.cctv.com/link_p.php?targetpage=http://gongyi.cctv.com/2017/11/01/ARTIeht04VC5FvAx7PWN1nfE171101.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"金牌实习生（初选入围）：
山东大学
徐磊",2017-11-01 17:12:36
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/01/07/ARTIRPVx5uSJViqYNEXlgfx6190107.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
53名本科生实现“零门槛”转专业",2019-01-07 09:37:35
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/11/25/ARTIP09Sg1Icdf0Js9zN6jM5171125.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"600余家用人单位
山东大学
“抢”人才 提供3万余岗位",2017-11-25 14:37:37
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2015/06/10/ARTI1433925328287112.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"山东大学
一处级干部骗取340余万元公款被判13年",2015-06-10 16:35:52
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/06/17/ARTIFy0sSrjM7cQrHCDGUAP5170617.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"中央巡视组向
山东大学
反馈情况：工程建设存廉洁风险",2017-06-17 09:53:31
