网址,标题,时间戳
https://www.toutiao.com/group/6888457535951471115/,这，很山大！这，很“数学”！, 山东大学 ⋅ 2评论 ⋅ 4月前
https://www.toutiao.com/group/6938666469026693671/&list_entrance=search&root_category_name=search,别人家的学校！山东大学出自助售饭机，同学直呼：太方便了, 豫视频 ⋅ 103评论 ⋅ 2天前
https://www.toutiao.com/group/6939012308874035748/&list_entrance=search&root_category_name=search,山东大学上线自助售饭机，等待几十秒，就可以取到热气腾腾的饭菜, 闪电新闻 ⋅ 5评论 ⋅ 1天前
https://www.toutiao.com/group/6877087637790949902/,初心赴山海 青春向未来——山东大学（青岛）2020级新生开学典礼隆重举行, 山东大学 ⋅ 0评论 ⋅ 5月前
https://www.toutiao.com/group/6909840637302931980/,我和我的学校 | 山大人，与国同行！, 山东大学 ⋅ 0评论 ⋅ 2月前
https://www.toutiao.com/group/6938682585664979470/,山东大学有了海洋考古教研基地, 光明网 ⋅ 0评论 ⋅ 2天前
https://www.toutiao.com/group/6883855759084356110/,山东大学发布120周年校庆一号公告，向全球校友发出邀请, 济南时报 ⋅ 2评论 ⋅ 4月前
https://www.toutiao.com/group/6898934600890843661/,山东大学：聚焦双一流建设，构建学科发展新格局, 金台资讯 ⋅ 0评论 ⋅ 3月前
https://www.toutiao.com/group/6873423525059920397/,2020年定向招生中，山东大学降40分录取，名额仍空缺近一半, 晓宁说说教育 ⋅ 5评论 ⋅ 5月前
https://www.toutiao.com/group/6911547940062528014/,榜样的力量！山东大学举行2020年度优秀学生颁奖典礼, 齐鲁壹点 ⋅ 0评论 ⋅ 2月前
https://www.toutiao.com/group/6747845113122128392/,山东大学，来了, 闪电新闻 ⋅ 0评论 ⋅ 1年前
https://www.toutiao.com/group/6926353218523890188/&list_entrance=search&root_category_name=search,985大学的就业真不是吹的【山东大学】, 胡老师说高考 ⋅ 9评论 ⋅ 1月前
https://www.toutiao.com/group/6901229161101230603/,山东大学70门课程入选国家级一流本科课程，列全国第六！新增44门，列全国第三！, 山东大学 ⋅ 3评论 ⋅ 3月前
https://www.toutiao.com/group/6853353549112279563/,山东大学在最新排行榜上的表现，2019年在各省录取最低位次参考, 途虫的百味人生 ⋅ 8评论 ⋅ 7月前
https://www.toutiao.com/group/6853910571306189320/,山东大学在山东省近三年录取情况及2020年招生计划, 齐鲁壹点 ⋅ 2评论 ⋅ 7月前
https://www.toutiao.com/group/6909746317262717451/,山东大学PK武汉大学，同为985大学谁更厉害？结果毫无疑问, 教育视角360 ⋅ 10评论 ⋅ 2月前
https://www.toutiao.com/group/6938268998538625566/,山东大学今年艺术类专业计划招生190人，详表来了, 二三里资讯济南 ⋅ 0评论 ⋅ 3天前
https://www.toutiao.com/group/6881991118720860686/,山一医的鲶鱼效应，惊醒了山大，刺激青大新增直属七家医院, 高校专业那些事 ⋅ 56评论 ⋅ 5月前
https://www.toutiao.com/group/6937954050268725763/&list_entrance=search&root_category_name=search,山东大学——信仰的力量, 山东大学 ⋅ 7评论 ⋅ 4天前
https://www.toutiao.com/group/6906482557647651331/,山大医学回归，进入第三届“双一流医学”联盟，未来还会有谁？, 大学专业那些事 ⋅ 20评论 ⋅ 2月前
https://www.toutiao.com/group/6463636598356934926/,山东大学医学学科或将升级为部委省共建，相关工作正在推进, 澎湃新闻 ⋅ 3评论 ⋅ 3年前
https://www.toutiao.com/group/6938148184564695565/,全国人大代表、山东大学校长樊丽明：发展更高质量的教育, 人民日报海外网 ⋅ 5245评论 ⋅ 3天前
https://www.toutiao.com/group/6935032502713057829/,山大获批3个国家药监局重点实验室背后：数量与北大并列全国高校第二, 光明网 ⋅ 3评论 ⋅ 12天前
https://www.toutiao.com/group/6857681625908511244/,东南大学“硬扛”山东大学，两所985的终极一战，你支持谁？, 塔尖 ⋅ 121评论 ⋅ 7月前
https://www.toutiao.com/group/6872660393219588622/,“山东大学降40分仍未完成招生计划”？实为“定向西藏就业”招生, 上观新闻 ⋅ 1评论 ⋅ 6月前
https://www.toutiao.com/group/6836921497559237128/,招生300人！山东大学2020年山东省综合评价招生简章发布, 齐鲁壹点 ⋅ 0评论 ⋅ 9月前
https://www.toutiao.com/group/6572080939101323784/,山东大学官微发“报考邀请”，评论区引来多地高校“抢人”, 澎湃新闻 ⋅ 3评论 ⋅ 2年前
https://www.toutiao.com/group/6707131524627563016/,多少分可以报考山东大学的王牌专业？, 中国教育在线 ⋅ 18评论 ⋅ 1年前
https://www.toutiao.com/group/6883494200390713863/,明天是您的生日，我的山大！, 山东大学 ⋅ 18评论 ⋅ 5月前
https://www.toutiao.com/group/6896400975012200967/,25日起报名！山大发布2021年招收攻读博士学位研究生章程, 齐鲁壹点 ⋅ 0评论 ⋅ 3月前
https://www.toutiao.com/group/6881164322706457102/,城市因大学而兴！快来看山大最新学术动态, 山东大学 ⋅ 0评论 ⋅ 5月前
